model,label,evaluated_against,auc,ci_low,ci_high
demographic_logistic,diagnosed,hba1c_criterion,0.7575015909216523,0.7345509973636624,0.7848531646580552
demographic_logistic,diagnosed,own_label,0.7767956566403105,0.7585115319376355,0.7998549923296282
demographic_logistic,hba1c_pos,hba1c_criterion,0.7564329057711975,0.7340071446509001,0.7840728470596109
demographic_race_logistic,diagnosed,hba1c_criterion,0.7631450574651655,0.7366999302451905,0.7966162143609335
demographic_race_logistic,diagnosed,own_label,0.7784579116913343,0.7579765246988888,0.8054511733846313
demographic_race_logistic,hba1c_pos,hba1c_criterion,0.7647580855957488,0.7367949698888773,0.8043687593416999
extended_logistic,diagnosed,hba1c_criterion,0.8187283882837453,0.7985920813720996,0.8466511885766137
extended_logistic,diagnosed,own_label,0.8410444867756908,0.826982514152431,0.8570997220182635
extended_logistic,hba1c_pos,hba1c_criterion,0.8192847147629267,0.7985064632752135,0.8471773150910636
extended_boosting,diagnosed,hba1c_criterion,0.8110048050322124,0.7871019960487307,0.8429351207205363
extended_boosting,diagnosed,own_label,0.8302077279463145,0.8160927243331206,0.845706275328162
extended_boosting,hba1c_pos,hba1c_criterion,0.8086430931363127,0.7884113760167238,0.8358173225010628
