model,label,group,bin,n,mean_predicted,observed_rate,weighted_n
demographic_logistic,diagnosed,Non-Hispanic White,1,480,0.018037642055436474,0.01373093538354537,31175877.958324693
demographic_logistic,diagnosed,Non-Hispanic White,2,329,0.04057507493794574,0.02975957259065535,31019737.177940972
demographic_logistic,diagnosed,Non-Hispanic White,3,295,0.086118561391789,0.10599347446444311,31077088.787363306
demographic_logistic,diagnosed,Non-Hispanic White,4,327,0.16187928149501396,0.1383710285900207,31213593.514153317
demographic_logistic,diagnosed,Non-Hispanic White,5,591,0.3011254358501145,0.2653048919295616,31113329.069076635
demographic_logistic,diagnosed,Non-Hispanic Black,1,265,0.01574832720783168,0.008396787696269184,5600797.601720616
demographic_logistic,diagnosed,Non-Hispanic Black,2,190,0.028995531221334303,0.014234290292587676,5587083.334947672
demographic_logistic,diagnosed,Non-Hispanic Black,3,203,0.05575525772246139,0.058166711202958035,5601435.320722183
demographic_logistic,diagnosed,Non-Hispanic Black,4,254,0.11245805839035163,0.1868473681801274,5614859.793583439
demographic_logistic,diagnosed,Non-Hispanic Black,5,400,0.24612245019568998,0.2595490238965607,5588701.504322719
demographic_logistic,diagnosed,Mexican American,1,172,0.014206252996613397,0.012002652663640319,5007751.0322423475
demographic_logistic,diagnosed,Mexican American,2,142,0.02460500850535248,0.01904062486447044,5018913.498018424
demographic_logistic,diagnosed,Mexican American,3,125,0.043781734406988584,0.07347015488656966,5007664.04711905
demographic_logistic,diagnosed,Mexican American,4,145,0.07921235332875454,0.09345232772847525,4999747.693886921
demographic_logistic,diagnosed,Mexican American,5,272,0.19537116534275048,0.29343013611133595,4997624.344685028
demographic_logistic,diagnosed,Other Hispanic,1,104,0.015401920906231104,0.0,3606045.58966278
demographic_logistic,diagnosed,Other Hispanic,2,75,0.0301599830176799,0.005004941888454063,3680400.35554069
demographic_logistic,diagnosed,Other Hispanic,3,78,0.05271977390567596,0.0707815985193843,3598616.208475657
demographic_logistic,diagnosed,Other Hispanic,4,107,0.1029238514990975,0.061355776166670706,3619272.9354944383
demographic_logistic,diagnosed,Other Hispanic,5,182,0.22349586264985014,0.25108120265312195,3618790.5808691485
demographic_logistic,diagnosed,Non-Hispanic Asian,1,177,0.01690635189114389,0.0,2791520.348023209
demographic_logistic,diagnosed,Non-Hispanic Asian,2,117,0.03176945190415242,0.012294594416051732,2831347.8578946115
demographic_logistic,diagnosed,Non-Hispanic Asian,3,142,0.059297270477732346,0.06860659224735166,2820697.321190172
demographic_logistic,diagnosed,Non-Hispanic Asian,4,171,0.11166842925119659,0.16776276375585358,2798386.7499348726
demographic_logistic,diagnosed,Non-Hispanic Asian,5,189,0.24864566883202843,0.33507803811697684,2814339.6850516386
demographic_logistic,diagnosed,Other/Multiracial,1,95,0.015349074397825823,0.0,2532923.7942904006
demographic_logistic,diagnosed,Other/Multiracial,2,60,0.03129050129389075,0.009390477577592761,2572201.9281100673
demographic_logistic,diagnosed,Other/Multiracial,3,57,0.059986953294347174,0.04544195555033984,2544778.7931761793
demographic_logistic,diagnosed,Other/Multiracial,4,54,0.11553772765033156,0.1845922109371537,2528891.64741429
demographic_logistic,diagnosed,Other/Multiracial,5,75,0.23103492836607248,0.3828680630511974,2575386.125378229
demographic_logistic,diagnosed,All groups,1,771,0.013346591516825344,0.004231625117164997,25317697.501802467
demographic_logistic,diagnosed,All groups,2,605,0.019996203014643964,0.015595337157569614,25391914.104757726
demographic_logistic,diagnosed,All groups,3,491,0.028785371241389794,0.02501893877147358,25346895.996527158
demographic_logistic,diagnosed,All groups,4,466,0.040556576193907574,0.019031888198409487,25389381.664440878
demographic_logistic,diagnosed,All groups,5,479,0.057689860966845405,0.07157092339440829,25232743.948348604
demographic_logistic,diagnosed,All groups,6,507,0.08327415557347802,0.10452355848796151,25456378.8566726
demographic_logistic,diagnosed,All groups,7,516,0.11619642817672467,0.1228535695479936,25466847.268839333
demographic_logistic,diagnosed,All groups,8,590,0.15829812561059906,0.1639814258021692,25259220.34625636
demographic_logistic,diagnosed,All groups,9,656,0.22224310554788382,0.2748269033974995,25412235.914754935
demographic_logistic,diagnosed,All groups,10,792,0.33627245942264156,0.2738207383476933,25284488.996213645
demographic_logistic,hba1c_pos,Non-Hispanic White,1,476,0.018048669667672452,0.016102641773252557,31050016.410582263
demographic_logistic,hba1c_pos,Non-Hispanic White,2,335,0.03740862853700601,0.01895272194932044,31147607.144339945
demographic_logistic,hba1c_pos,Non-Hispanic White,3,296,0.07405848781572524,0.08256140871598713,31239462.444699407
demographic_logistic,hba1c_pos,Non-Hispanic White,4,326,0.13161192464592408,0.1141163583472063,30980286.062020876
demographic_logistic,hba1c_pos,Non-Hispanic White,5,589,0.23724226830242198,0.17911130640967726,31182254.445216432
demographic_logistic,hba1c_pos,Non-Hispanic Black,1,265,0.016047339770151835,0.010302935436699691,5602216.331584927
demographic_logistic,hba1c_pos,Non-Hispanic Black,2,189,0.027999595087735186,0.03214828581806961,5590069.059762843
demographic_logistic,hba1c_pos,Non-Hispanic Black,3,203,0.0501198553160058,0.08055406017555426,5592916.45496129
demographic_logistic,hba1c_pos,Non-Hispanic Black,4,253,0.09476310992458412,0.2122545361766086,5600819.294611873
demographic_logistic,hba1c_pos,Non-Hispanic Black,5,402,0.19658041453434372,0.23875591770177398,5606856.414375695
demographic_logistic,hba1c_pos,Mexican American,1,172,0.014077910888185365,0.006733197507606219,4995853.690653609
demographic_logistic,hba1c_pos,Mexican American,2,143,0.023111183876646832,0.007142433130552803,5016609.164157164
demographic_logistic,hba1c_pos,Mexican American,3,123,0.03883222195777018,0.08379687460563319,4991965.793989133
demographic_logistic,hba1c_pos,Mexican American,4,143,0.06707029908770873,0.10473864659091785,5025833.715358613
demographic_logistic,hba1c_pos,Mexican American,5,275,0.15457647070843178,0.23298693590950478,5001438.251793254
demographic_logistic,hba1c_pos,Other Hispanic,1,103,0.01571000751498808,0.0,3611470.6787341353
demographic_logistic,hba1c_pos,Other Hispanic,2,75,0.028545359310461874,0.014188316008625084,3647202.1379480697
demographic_logistic,hba1c_pos,Other Hispanic,3,78,0.0467436430199366,0.0262333052426545,3612055.5664044707
demographic_logistic,hba1c_pos,Other Hispanic,4,108,0.08696592820531009,0.1064610505305933,3657612.6337808007
demographic_logistic,hba1c_pos,Other Hispanic,5,182,0.17895087495811568,0.25725117896544153,3594784.6531752376
demographic_logistic,hba1c_pos,Non-Hispanic Asian,1,177,0.016980415868435468,0.0,2817205.1880990095
demographic_logistic,hba1c_pos,Non-Hispanic Asian,2,118,0.029916161111154728,0.020026164650105222,2804454.9051876934
demographic_logistic,hba1c_pos,Non-Hispanic Asian,3,142,0.052267003863032596,0.031588169332358834,2817366.3418760044
demographic_logistic,hba1c_pos,Non-Hispanic Asian,4,170,0.0930231271781975,0.2013635096157597,2798219.4316408
demographic_logistic,hba1c_pos,Non-Hispanic Asian,5,189,0.19717474055331097,0.32310873251178074,2819046.095290994
demographic_logistic,hba1c_pos,Other/Multiracial,1,94,0.015442595107551594,0.0,2553478.5265179193
demographic_logistic,hba1c_pos,Other/Multiracial,2,61,0.02906373499576801,0.02555160479196483,2512696.840463133
demographic_logistic,hba1c_pos,Other/Multiracial,3,57,0.05145496029576212,0.026010855395323756,2573348.3563951026
demographic_logistic,hba1c_pos,Other/Multiracial,4,55,0.09534588179720876,0.11596504723540749,2564664.450302691
demographic_logistic,hba1c_pos,Other/Multiracial,5,74,0.18385129750610438,0.3084914391511338,2549994.114690321
demographic_logistic,hba1c_pos,All groups,1,781,0.013716540838532054,0.007321243826990139,25365982.351224266
demographic_logistic,hba1c_pos,All groups,2,595,0.01982012861548062,0.014704244457340298,25336963.777325176
demographic_logistic,hba1c_pos,All groups,3,492,0.02737564742248698,0.025544907865368064,25339722.343976993
demographic_logistic,hba1c_pos,All groups,4,476,0.037216130860630456,0.02003657970835977,25389738.79846122
demographic_logistic,hba1c_pos,All groups,5,465,0.05144676871400117,0.041958500708467836,25344711.09173912
demographic_logistic,hba1c_pos,All groups,6,524,0.07153509944573747,0.09008375633150434,25359493.25188551
demographic_logistic,hba1c_pos,All groups,7,527,0.09679786460472024,0.14134562051647626,25347597.680712394
demographic_logistic,hba1c_pos,All groups,8,573,0.1285703044010184,0.134187005823877,25336125.226666395
demographic_logistic,hba1c_pos,All groups,9,647,0.1763724983888936,0.20877140849233877,25394858.559511617
demographic_logistic,hba1c_pos,All groups,10,793,0.26484861471883564,0.2025715020209073,25342611.517111003
demographic_race_logistic,diagnosed,Non-Hispanic White,1,477,0.014575919547166246,0.012761247687061184,31125203.83861702
demographic_race_logistic,diagnosed,Non-Hispanic White,2,330,0.033989006987157185,0.0307055582161158,31069672.91887453
demographic_race_logistic,diagnosed,Non-Hispanic White,3,304,0.07565553607432292,0.10743070801127066,31203561.277987704
demographic_race_logistic,diagnosed,Non-Hispanic White,4,321,0.14703410870154915,0.1408225715691586,31145317.673873134
demographic_race_logistic,diagnosed,Non-Hispanic White,5,590,0.28427252749270504,0.2617656322974307,31055870.797506537
demographic_race_logistic,diagnosed,Non-Hispanic Black,1,268,0.016674086095694797,0.0084036552196416,5596220.592380196
demographic_race_logistic,diagnosed,Non-Hispanic Black,2,187,0.031488909169228384,0.014174841481856082,5610515.375450283
demographic_race_logistic,diagnosed,Non-Hispanic Black,3,203,0.06221999829987625,0.06882959004428543,5583848.487262223
demographic_race_logistic,diagnosed,Non-Hispanic Black,4,253,0.12864089753832422,0.1767785978660644,5603646.908981823
demographic_race_logistic,diagnosed,Non-Hispanic Black,5,401,0.2812995719305088,0.2590879956962542,5598646.191222102
demographic_race_logistic,diagnosed,Mexican American,1,172,0.019377657811738412,0.011977117326817012,5018427.608737867
demographic_race_logistic,diagnosed,Mexican American,2,141,0.03381889739201943,0.019124510879457157,4996898.992363064
demographic_race_logistic,diagnosed,Mexican American,3,124,0.061331679260348326,0.08015085760261784,4979708.194469972
demographic_race_logistic,diagnosed,Mexican American,4,146,0.11262232741512739,0.09596355703870085,5022593.957824056
demographic_race_logistic,diagnosed,Mexican American,5,273,0.26682975529651665,0.2833010135656538,5014071.862556814
demographic_race_logistic,diagnosed,Other Hispanic,1,102,0.012961518087947831,0.0,3617652.7787970244
demographic_race_logistic,diagnosed,Other Hispanic,2,75,0.026161489683430364,0.0050914764708347385,3617848.3807678022
demographic_race_logistic,diagnosed,Other Hispanic,3,81,0.04701728116716949,0.08327828907462873,3636226.9555533114
demographic_race_logistic,diagnosed,Other Hispanic,4,106,0.09417622957704938,0.06347132424466634,3616496.443362416
demographic_race_logistic,diagnosed,Other Hispanic,5,182,0.21359253972367023,0.23467676145552913,3634901.111562158
demographic_race_logistic,diagnosed,Non-Hispanic Asian,1,176,0.020424651145131995,0.0,2798990.4318715115
demographic_race_logistic,diagnosed,Non-Hispanic Asian,2,118,0.039312047336972675,0.012354928611603313,2817521.2223305395
demographic_race_logistic,diagnosed,Non-Hispanic Asian,3,141,0.07438443458500854,0.06594581056266116,2809165.9840575717
demographic_race_logistic,diagnosed,Non-Hispanic Asian,4,173,0.14222974831001597,0.17773541560145106,2822501.8079776005
demographic_race_logistic,diagnosed,Non-Hispanic Asian,5,188,0.3111691139229208,0.32730016392370725,2808112.5158572793
demographic_race_logistic,diagnosed,Other/Multiracial,1,96,0.02120706131409119,0.0,2567896.292807336
demographic_race_logistic,diagnosed,Other/Multiracial,2,63,0.04378132690409104,0.02015169775794759,2544418.713678892
demographic_race_logistic,diagnosed,Other/Multiracial,3,53,0.08533396370194239,0.04833611405411776,2536385.1318944357
demographic_race_logistic,diagnosed,Other/Multiracial,4,48,0.1650170026327623,0.16874177513240302,2564476.233018987
demographic_race_logistic,diagnosed,Other/Multiracial,5,81,0.3087283024140374,0.38804832796629796,2541005.916969517
