quantity,group,python,r,absolute_difference,tolerance,status
estimate,All groups,0.1888501127077438,0.188850112707744,1.942890293094024e-16,1e-06,pass
estimate,Mexican American,0.2269195259941483,0.226919525994148,3.0531133177191805e-16,1e-06,pass
estimate,Non-Hispanic Asian,0.2772424047413246,0.277242404741325,3.885780586188048e-16,1e-06,pass
estimate,Non-Hispanic Black,0.32236147859292363,0.322361478592923,6.106226635438361e-16,1e-06,pass
estimate,Non-Hispanic White,0.1284942497662645,0.128494249766265,4.996003610813204e-16,1e-06,pass
estimate,Other Hispanic,0.31489488958856227,0.314894889588562,2.7755575615628914e-16,1e-06,pass
estimate,Other/Multiracial,0.13324074492323,0.13324074492323,0.0,1e-06,pass
estimate,Non-Hispanic Black minus Non-Hispanic White,0.19386722882665913,0.193867228826659,1.3877787807814457e-16,1e-06,pass
se,All groups,0.016909613999437658,0.0169096139994377,4.163336342344337e-17,1e-06,pass
se,Mexican American,0.04875462770111236,0.0487546277011124,4.163336342344337e-17,1e-06,pass
se,Non-Hispanic Asian,0.047807552319763025,0.047807552319763,2.7755575615628914e-17,1e-06,pass
se,Non-Hispanic Black,0.04545132996695662,0.0454513299669566,2.0816681711721685e-17,1e-06,pass
se,Non-Hispanic White,0.030956497160204776,0.0309564971602048,2.42861286636753e-17,1e-06,pass
se,Other Hispanic,0.09865733108409301,0.098657331084093,1.3877787807814457e-17,1e-06,pass
se,Other/Multiracial,0.04814157962697504,0.048141579626975,4.163336342344337e-17,1e-06,pass
se,Non-Hispanic Black minus Non-Hispanic White,0.05801885629379871,0.0580188562937987,6.938893903907228e-18,1e-06,pass
df,All groups,15.0,15.0,0.0,1e-06,pass
df,Mexican American,6.0,6.0,0.0,1e-06,pass
df,Non-Hispanic Asian,10.0,10.0,0.0,1e-06,pass
df,Non-Hispanic Black,10.0,10.0,0.0,1e-06,pass
df,Non-Hispanic White,14.0,14.0,0.0,1e-06,pass
df,Other Hispanic,8.0,8.0,0.0,1e-06,pass
df,Other/Multiracial,8.0,8.0,0.0,1e-06,pass
df,Non-Hispanic Black minus Non-Hispanic White,15.0,15.0,0.0,1e-06,pass
ci_low_logit,All groups,0.1554103141948833,0.155410314195057,1.7369439220260574e-13,1e-06,pass
ci_low_logit,Mexican American,0.1294497599704061,0.129449759975966,5.559913640595937e-12,1e-06,pass
ci_low_logit,Non-Hispanic Asian,0.18395423197910438,0.183954231979987,8.826273045769994e-13,1e-06,pass
ci_low_logit,Non-Hispanic Black,0.23031295325516343,0.230312953258233,3.0695723740592484e-12,1e-06,pass
ci_low_logit,Non-Hispanic White,0.07535225371020814,0.0753522539744796,2.6427146582186367e-10,1e-06,pass
ci_low_logit,Other Hispanic,0.1380142219409033,0.138014221951662,1.0758699486856926e-11,1e-06,pass
ci_low_logit,Other/Multiracial,0.05552097885209784,0.0555209788652661,1.3168258150564327e-11,1e-06,pass
ci_high_logit,All groups,0.2275466590100687,0.22754665901025,1.8129941992128806e-13,1e-06,pass
ci_high_logit,Mexican American,0.3668526766879644,0.3668526766944,6.435629806844645e-12,1e-06,pass
ci_high_logit,Non-Hispanic Asian,0.3949433236528997,0.394943323653473,5.733191699164308e-13,1e-06,pass
ci_high_logit,Non-Hispanic Black,0.43061657361251476,0.430616573615625,3.1102342923361448e-12,1e-06,pass
ci_high_logit,Non-Hispanic White,0.21057921347811573,0.210579213701611,2.2349527784015777e-10,1e-06,pass
ci_high_logit,Other Hispanic,0.5688633829549252,0.568863382959252,4.32676117156916e-12,1e-06,pass
ci_high_logit,Other/Multiracial,0.2867267759907287,0.286726776012616,2.1887269774367724e-11,1e-06,pass
ci_low_wald,All groups,0.15280812363305118,0.152808123633051,1.942890293094024e-16,1e-06,pass
ci_low_wald,Mexican American,0.1076212496741352,0.107621249674136,8.049116928532385e-16,1e-06,pass
ci_low_wald,Non-Hispanic Asian,0.1707205399992941,0.170720539999294,8.326672684688674e-17,1e-06,pass
ci_low_wald,Non-Hispanic Black,0.22108960441909958,0.2210896044191,4.163336342344337e-16,1e-06,pass
ci_low_wald,Non-Hispanic White,0.062099166752492,0.062099166752492,0.0,1e-06,pass
ci_low_wald,Other Hispanic,0.0873906761404373,0.0873906761404373,0.0,1e-06,pass
ci_low_wald,Other/Multiracial,0.022226063228164922,0.022226063228165,7.979727989493313e-17,1e-06,pass
ci_high_wald,All groups,0.2248921017824364,0.224892101782437,5.828670879282072e-16,1e-06,pass
ci_high_wald,Mexican American,0.34621780231416144,0.346217802314161,4.440892098500626e-16,1e-06,pass
ci_high_wald,Non-Hispanic Asian,0.3837642694833551,0.383764269483355,1.1102230246251565e-16,1e-06,pass
ci_high_wald,Non-Hispanic Black,0.4236333527667477,0.423633352766747,6.661338147750939e-16,1e-06,pass
ci_high_wald,Non-Hispanic White,0.194889332780037,0.194889332780037,0.0,1e-06,pass
ci_high_wald,Other Hispanic,0.5423991030366873,0.542399103036687,2.220446049250313e-16,1e-06,pass
ci_high_wald,Other/Multiracial,0.24425542661829505,0.244255426618295,5.551115123125783e-17,1e-06,pass
