group,measure,respondents,estimate,se,ci_low_logit,ci_high_logit,weighted_denominator
Non-Hispanic White,hba1c_criterion,2022,0.08219778735613834,0.007932318982312107,0.0667969126282948,0.10076611073548297,155599626.50685892
Non-Hispanic White,told_by_doctor,2022,0.11066062648228214,0.007304026669839908,0.09602440487929548,0.12721378353401053,155599626.50685892
Non-Hispanic White,hba1c_criterion_and_not_told,2022,0.010561943018773936,0.002756922030512974,0.006046693463292996,0.01838649607334454,155599626.50685892
Non-Hispanic Black,hba1c_criterion,1312,0.11486607561455697,0.010286067507398628,0.09469512393430203,0.13867547195977684,27992877.55529663
Non-Hispanic Black,told_by_doctor,1312,0.10545674465544744,0.011140980150609249,0.08395878709808406,0.1316681198278076,27992877.55529663
Non-Hispanic Black,hba1c_criterion_and_not_told,1312,0.03702839797527515,0.005899651013930465,0.026313784317908935,0.05187342416703705,27992877.55529663
Mexican American,hba1c_criterion,856,0.0870675478662679,0.008780089751165922,0.06987497669468302,0.10799913210459369,25031700.61595177
Mexican American,told_by_doctor,856,0.09816652444092686,0.007798711254577029,0.08255905722600645,0.11635033452707844,25031700.61595177
Mexican American,hba1c_criterion_and_not_told,856,0.019757326691286332,0.005378018994049527,0.010941517476530872,0.035421830028316816,25031700.61595177
Other Hispanic,hba1c_criterion,546,0.08059645520774537,0.01299735459356489,0.056761071975451896,0.11323928223144586,18123125.670042716
Other Hispanic,told_by_doctor,546,0.07745957372190934,0.010881815254121378,0.05710939562713603,0.10425943756466191,18123125.670042716
Other Hispanic,hba1c_criterion_and_not_told,546,0.02537941186387248,0.011189901901741035,0.009772316005768743,0.06429378871003935,18123125.670042716
Non-Hispanic Asian,hba1c_criterion,796,0.11521357277600273,0.010123098866132017,0.095330277931363,0.13860858229958786,14056291.962094503
Non-Hispanic Asian,told_by_doctor,796,0.11673186815165268,0.009839659552927883,0.09733792032516914,0.13939321917036665,14056291.962094503
Non-Hispanic Asian,hba1c_criterion_and_not_told,796,0.03194208797525861,0.006644661952917813,0.02044447590919856,0.04957848595804761,14056291.962094503
Other/Multiracial,hba1c_criterion,341,0.09527864582175136,0.01760050310808604,0.06380321433424588,0.13996021440782822,12754182.288369168
Other/Multiracial,told_by_doctor,341,0.12487203735808913,0.018110983601237494,0.09109570757234152,0.1688454302823245,12754182.288369168
Other/Multiracial,hba1c_criterion_and_not_told,341,0.012694997744566746,0.0040351392846278596,0.006432304997613982,0.024902416628332907,12754182.288369168
All groups,hba1c_criterion,5873,0.08865892473554916,0.004765501705026569,0.07901299828450262,0.09935539214246432,253557804.59861374
All groups,told_by_doctor,5873,0.10753103230156562,0.005237140451392032,0.09686716534145502,0.11921389500737682,253557804.59861374
All groups,hba1c_criterion_and_not_told,5873,0.016743247928855832,0.0016811086968406652,0.013512599808862748,0.02073006157623487,253557804.59861374
