model,model_role,model_description,group,label,metric,estimate,ci_low,ci_high,unit,small_sample_warning
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,diagnosed,auc,0.7575015909,0.7345509974,0.7848531647,auc,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,hba1c_pos,auc,0.7564329058,0.7340071447,0.7840728471,auc,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,diagnosed minus hba1c_pos,auc_difference,0.00106868515,-0.0003965960451,0.002511416144,auc,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,diagnosed,false_positive_rate,0.4085328691,0.3832762449,0.431129764,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,diagnosed,false_positive_rate,0.2432276,0.1858567676,0.3081825003,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,diagnosed,false_positive_rate,0.326833359,0.2663207115,0.3809417465,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,diagnosed,false_positive_rate,0.3410780241,0.320643189,0.3611523913,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,diagnosed,false_positive_rate,0.4686153511,0.4306154431,0.5068679533,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,diagnosed,false_positive_rate,0.3262116881,0.2856938947,0.3660480553,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,diagnosed,false_positive_rate,0.3440862744,0.2445296296,0.4143491364,proportion,SMALL SAMPLE
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,hba1c_pos,false_positive_rate,0.4156388934,0.390541332,0.4388207519,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,hba1c_pos,false_positive_rate,0.2419911126,0.1929454673,0.3003266976,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,hba1c_pos,false_positive_rate,0.335568875,0.2849505483,0.3869168151,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,hba1c_pos,false_positive_rate,0.3483081614,0.3262982986,0.3687552126,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,hba1c_pos,false_positive_rate,0.4780660042,0.4392638746,0.5134948879,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other Hispanic,hba1c_pos,false_positive_rate,0.3229504536,0.2824499372,0.3717422142,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Other/Multiracial,hba1c_pos,false_positive_rate,0.3516440439,0.2544541819,0.4268136615,proportion,SMALL SAMPLE
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",All groups,diagnosed,npv,0.9735633926,0.9654462215,0.9826392146,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Mexican American,diagnosed,npv,0.9591272114,0.9398918363,0.9784795087,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Asian,diagnosed,npv,0.9771438433,0.962602144,0.992505032,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic Black,diagnosed,npv,0.955166284,0.937491252,0.975638197,proportion,OK
demographic_logistic,primary,"Age and sex, race excluded (primary benchmark)",Non-Hispanic White,diagnosed,npv,0.9788831873,0.9653053773,0.9946087726,proportion,OK
